time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:58.560Z,0.0208,0.0194,-0.1279,-0.0033,-0.0041,0.0039
2026-03-11T13:55:58.571Z,0.0208,0.0159,-0.1377,-0.0026,-0.0041,0.0041
2026-03-11T13:55:58.580Z,0.0066,0.0174,-0.1282,-0.0048,-0.0032,0.0044
2026-03-11T13:55:58.590Z,0.0228,0.0149,-0.1318,-0.0030,-0.0044,0.0026
2026-03-11T13:55:58.601Z,0.0130,0.0184,-0.1336,-0.0031,-0.0036,0.0039
2026-03-11T13:55:58.610Z,0.0103,0.0124,-0.1396,-0.0042,-0.0038,0.0035
2026-03-11T13:55:58.621Z,0.0119,0.0111,-0.1326,-0.0033,-0.0038,0.0033
2026-03-11T13:55:58.630Z,0.0163,0.0236,-0.1407,-0.0041,-0.0032,0.0031
2026-03-11T13:55:58.640Z,0.0169,0.0222,-0.1246,-0.0040,-0.0024,0.0028
2026-03-11T13:55:58.651Z,0.0198,0.0173,-0.1194,-0.0041,-0.0040,0.0025
2026-03-11T13:55:58.660Z,0.0133,0.0191,-0.1386,-0.0037,-0.0036,0.0025
2026-03-11T13:55:58.671Z,0.0102,0.0190,-0.1511,-0.0028,-0.0033,0.0036
2026-03-11T13:55:58.680Z,0.0269,0.0095,-0.1398,-0.0013,-0.0060,0.0048
2026-03-11T13:55:58.690Z,0.0167,0.0191,-0.1422,-0.0014,-0.0034,0.0037
2026-03-11T13:55:58.701Z,0.0023,0.0117,-0.1498,-0.0022,-0.0085,0.0055
2026-03-11T13:55:58.710Z,0.0160,0.0153,-0.1381,-0.0032,-0.0022,0.0013
2026-03-11T13:55:58.720Z,0.0125,0.0172,-0.1182,-0.0040,-0.0045,0.0032
2026-03-11T13:55:58.730Z,0.0267,0.0242,-0.0886,-0.0023,-0.0006,0.0039
2026-03-11T13:55:58.740Z,0.0174,0.0213,-0.1390,-0.0042,-0.0056,0.0030
2026-03-11T13:55:58.752Z,0.0093,0.0246,-0.1471,-0.0032,-0.0059,0.0038
2026-03-11T13:55:58.760Z,0.0099,0.0151,-0.1486,-0.0016,-0.0052,0.0031
2026-03-11T13:55:58.771Z,0.0103,0.0203,-0.1372,-0.0041,-0.0045,0.0029
2026-03-11T13:55:58.780Z,0.0150,0.0196,-0.1339,-0.0034,-0.0024,0.0028
2026-03-11T13:55:58.790Z,0.0274,0.0114,-0.1172,-0.0028,-0.0046,0.0047
2026-03-11T13:55:58.803Z,0.0076,0.0143,-0.1440,-0.0016,-0.0035,0.0019
2026-03-11T13:55:58.810Z,0.0076,0.0143,-0.1440,-0.0039,-0.0058,0.0030
2026-03-11T13:55:58.820Z,0.0230,0.0071,-0.1420,-0.0015,-0.0042,0.0040
2026-03-11T13:55:58.830Z,0.0258,0.0083,-0.1472,-0.0012,-0.0035,0.0032
2026-03-11T13:55:58.840Z,0.0148,0.0045,-0.1278,-0.0028,-0.0067,0.0046
